origem,destino,sku,perfil,volume
CD_11,Cliente_2,sku_82,RODOVIARIO,246.57
CD_11,Cliente_5,sku_40,RODOVIARIO,805.64
CD_11,Cliente_5,sku_43,RODOVIARIO,1077.92
CD_11,Cliente_5,sku_47,RODOVIARIO,780.03
CD_11,Cliente_5,sku_52,RODOVIARIO,34591.75
CD_11,Cliente_5,sku_61,RODOVIARIO,96.36
CD_11,Cliente_5,sku_82,RODOVIARIO,73.97
CD_11,Cliente_5,sku_83,RODOVIARIO,4707.23
CD_11,Cliente_5,sku_84,RODOVIARIO,420916.85
CD_11,Cliente_6,sku_18,RODOVIARIO,856.23
CD_11,Cliente_6,sku_23,RODOVIARIO,680.5
CD_11,Cliente_6,sku_25,RODOVIARIO,7005.23
CD_11,Cliente_6,sku_38,RODOVIARIO,177.13
CD_11,Cliente_6,sku_40,RODOVIARIO,626.94
CD_11,Cliente_6,sku_43,RODOVIARIO,901.33
CD_11,Cliente_6,sku_44,RODOVIARIO,974.25
CD_11,Cliente_6,sku_46,RODOVIARIO,477.57
CD_11,Cliente_6,sku_47,RODOVIARIO,1625.7
CD_11,Cliente_6,sku_49,RODOVIARIO,29550.26
CD_11,Cliente_6,sku_50,RODOVIARIO,247.88
CD_11,Cliente_6,sku_52,RODOVIARIO,324538.42
CD_11,Cliente_6,sku_61,RODOVIARIO,178.48
CD_11,Cliente_6,sku_63,RODOVIARIO,227.95
CD_11,Cliente_6,sku_65,RODOVIARIO,308.34
CD_11,Cliente_6,sku_69,RODOVIARIO,58.77
CD_11,Cliente_6,sku_73,RODOVIARIO,83.3
CD_11,Cliente_6,sku_77,RODOVIARIO,79.34
CD_11,Cliente_6,sku_79,RODOVIARIO,73.32
CD_11,Cliente_6,sku_82,RODOVIARIO,6860.68
CD_11,Cliente_6,sku_83,RODOVIARIO,86635.87
CD_11,Cliente_6,sku_84,RODOVIARIO,940535.55
CD_11,Cliente_6,sku_85,RODOVIARIO,319.32
CD_11,Cliente_6,sku_86,RODOVIARIO,90757.43
CD_11,Cliente_6,sku_88,RODOVIARIO,1491.98
CD_11,Cliente_9,sku_25,RODOVIARIO,201.9
CD_11,Cliente_9,sku_33,RODOVIARIO,195.03
CD_11,Cliente_9,sku_40,RODOVIARIO,359.92
CD_11,Cliente_9,sku_43,RODOVIARIO,279.76
CD_11,Cliente_9,sku_47,RODOVIARIO,403.12
CD_11,Cliente_9,sku_52,RODOVIARIO,4195.06
CD_11,Cliente_9,sku_61,RODOVIARIO,193.96
