no,sku,perfil,demanda
Cliente_1,sku_82,Rodoviário,0.2
Cliente_2,sku_0,Rodoviário,65.24
Cliente_2,sku_2,Rodoviário,271.32
Cliente_2,sku_6,Rodoviário,0.3
Cliente_2,sku_8,Rodoviário,0.1
Cliente_2,sku_12,Rodoviário,27.38
Cliente_2,sku_15,Rodoviário,635.35
Cliente_2,sku_16,Rodoviário,95.3
Cliente_2,sku_17,Rodoviário,418.31
Cliente_2,sku_18,Rodoviário,2071.33
Cliente_2,sku_21,Rodoviário,1629.19
Cliente_2,sku_23,Rodoviário,117.13
Cliente_2,sku_25,Rodoviário,1253.78
Cliente_2,sku_26,Rodoviário,179.27
Cliente_2,sku_27,Rodoviário,163.05
Cliente_2,sku_29,Rodoviário,5.26
Cliente_2,sku_33,Rodoviário,635.69
Cliente_2,sku_35,Rodoviário,1327.8
Cliente_2,sku_38,Rodoviário,10.04
Cliente_2,sku_40,Rodoviário,1112.19
Cliente_2,sku_43,Rodoviário,1764.48
Cliente_2,sku_47,Rodoviário,0.1
Cliente_2,sku_61,Rodoviário,2507.5
Cliente_2,sku_63,Rodoviário,580.99
Cliente_2,sku_73,Rodoviário,1109.45
Cliente_2,sku_79,Rodoviário,974.5
Cliente_2,sku_82,Rodoviário,1718.97
Cliente_2,sku_83,Rodoviário,1897.25
Cliente_3,sku_6,Rodoviário,8.31
Cliente_3,sku_16,Rodoviário,0.1
Cliente_5,sku_39,Rodoviário,4253.68
Cliente_5,sku_40,Rodoviário,1853.15
Cliente_5,sku_43,Rodoviário,36634.26
Cliente_5,sku_47,Rodoviário,780.03
Cliente_5,sku_52,Rodoviário,39802.81
Cliente_5,sku_61,Rodoviário,312.38
Cliente_5,sku_65,Rodoviário,144.28
Cliente_5,sku_69,Rodoviário,612.22
Cliente_5,sku_79,Rodoviário,282.18
Cliente_5,sku_80,Rodoviário,32474.12
Cliente_5,sku_82,Rodoviário,6937.08
Cliente_5,sku_83,Rodoviário,7118.72
Cliente_5,sku_84,Rodoviário,901575.59
Cliente_6,sku_0,Rodoviário,343.99
Cliente_6,sku_1,Rodoviário,393.61
Cliente_6,sku_2,Rodoviário,1646.94
Cliente_6,sku_4,Rodoviário,1204.81
Cliente_6,sku_6,Rodoviário,0.2
Cliente_6,sku_8,Rodoviário,1361.61
Cliente_6,sku_10,Rodoviário,0.76
Cliente_6,sku_11,Rodoviário,321.04
Cliente_6,sku_12,Rodoviário,26.99
Cliente_6,sku_14,Rodoviário,3908.62
Cliente_6,sku_15,Rodoviário,8140.38
Cliente_6,sku_16,Rodoviário,0.2
Cliente_6,sku_17,Rodoviário,29902.6
Cliente_6,sku_18,Rodoviário,59822.36
Cliente_6,sku_19,Rodoviário,877.21
Cliente_6,sku_20,Rodoviário,5563.4
Cliente_6,sku_21,Rodoviário,68409.78
Cliente_6,sku_22,Rodoviário,1186.22
Cliente_6,sku_23,Rodoviário,6369.08
Cliente_6,sku_25,Rodoviário,18239.11
Cliente_6,sku_26,Rodoviário,107.8
Cliente_6,sku_29,Rodoviário,10718.92
Cliente_6,sku_31,Rodoviário,24.59
Cliente_6,sku_33,Rodoviário,2628.9
Cliente_6,sku_35,Rodoviário,14672.9
Cliente_6,sku_38,Rodoviário,1641.88
Cliente_6,sku_40,Rodoviário,10242.07
Cliente_6,sku_42,Rodoviário,46.2
Cliente_6,sku_43,Rodoviário,113731.31
Cliente_6,sku_44,Rodoviário,1890.34
Cliente_6,sku_46,Rodoviário,477.57
Cliente_6,sku_47,Rodoviário,15794.52
Cliente_6,sku_49,Rodoviário,67578.98
Cliente_6,sku_50,Rodoviário,247.88
Cliente_6,sku_52,Rodoviário,599465.99
Cliente_6,sku_61,Rodoviário,13332.22
Cliente_6,sku_63,Rodoviário,12399.18
Cliente_6,sku_65,Rodoviário,1683.82
Cliente_6,sku_66,Rodoviário,226.94
Cliente_6,sku_69,Rodoviário,7749.37
Cliente_6,sku_71,Rodoviário,91.23
Cliente_6,sku_73,Rodoviário,3678.9
Cliente_6,sku_75,Rodoviário,5878.93
Cliente_6,sku_77,Rodoviário,10695.53
Cliente_6,sku_79,Rodoviário,3115.4
Cliente_6,sku_80,Rodoviário,576.14
Cliente_6,sku_82,Rodoviário,102715.4
Cliente_6,sku_83,Rodoviário,125747.06
Cliente_6,sku_84,Rodoviário,2447208.95
Cliente_6,sku_85,Rodoviário,319.42
Cliente_6,sku_86,Rodoviário,91752.84
Cliente_6,sku_88,Rodoviário,1491.98
Cliente_4,sku_15,Rodoviário,6359.94
Cliente_4,sku_17,Rodoviário,6812.82
Cliente_4,sku_18,Rodoviário,38544.02
Cliente_7,sku_17,Rodoviário,1996.08
Cliente_7,sku_18,Rodoviário,2493.25
Cliente_7,sku_22,Rodoviário,9817.38
Cliente_7,sku_25,Rodoviário,6354.8
Cliente_7,sku_26,Rodoviário,5.74
Cliente_7,sku_35,Rodoviário,71.03
Cliente_7,sku_38,Rodoviário,88.7
Cliente_7,sku_60,Rodoviário,69552.75
Cliente_7,sku_61,Rodoviário,771.93
Cliente_7,sku_63,Rodoviário,723.45
Cliente_7,sku_75,Rodoviário,3722.92
Cliente_7,sku_82,Rodoviário,1639.01
Cliente_8,sku_82,Rodoviário,11813.65
Cliente_9,sku_0,Rodoviário,59.45
Cliente_9,sku_2,Rodoviário,52.89
Cliente_9,sku_6,Rodoviário,0.2
Cliente_9,sku_8,Rodoviário,505.21
Cliente_9,sku_15,Rodoviário,8.92
Cliente_9,sku_16,Rodoviário,0.1
Cliente_9,sku_17,Rodoviário,14.21
Cliente_9,sku_18,Rodoviário,364.76
Cliente_9,sku_21,Rodoviário,738.14
Cliente_9,sku_23,Rodoviário,624.27
Cliente_9,sku_25,Rodoviário,2507.74
Cliente_9,sku_26,Rodoviário,13.44
Cliente_9,sku_33,Rodoviário,374.2
Cliente_9,sku_35,Rodoviário,390.19
Cliente_9,sku_38,Rodoviário,875.81
Cliente_9,sku_40,Rodoviário,2001.22
Cliente_9,sku_43,Rodoviário,18953.98
Cliente_9,sku_47,Rodoviário,855.26
Cliente_9,sku_49,Rodoviário,45.15
Cliente_9,sku_52,Rodoviário,4206.88
Cliente_9,sku_61,Rodoviário,4776.35
Cliente_9,sku_63,Rodoviário,1213.14
Cliente_9,sku_69,Rodoviário,977.46
Cliente_9,sku_75,Rodoviário,16694.37
Cliente_9,sku_77,Rodoviário,185.17
Cliente_9,sku_79,Rodoviário,188.0
Cliente_9,sku_80,Rodoviário,32257.33
Cliente_9,sku_82,Rodoviário,10812.93
Cliente_9,sku_83,Rodoviário,12735.39
Cliente_9,sku_84,Rodoviário,118086.93
Cliente_9,sku_85,Rodoviário,130.7
Cliente_9,sku_86,Rodoviário,3792.05
Cliente_9,sku_87,Rodoviário,964.98
Cliente_9,sku_88,Rodoviário,470.91
Cliente_11,sku_39,Rodoviário,336.83
Cliente_11,sku_74,Rodoviário,130.92
Cliente_12,sku_0,Rodoviário,64.58
Cliente_12,sku_2,Rodoviário,527.19
Cliente_12,sku_4,Rodoviário,22.96
Cliente_12,sku_6,Rodoviário,26.35
Cliente_12,sku_7,Rodoviário,8.6
Cliente_12,sku_8,Rodoviário,232.45
Cliente_12,sku_13,Rodoviário,8.57
Cliente_12,sku_14,Rodoviário,2851.8
Cliente_12,sku_15,Rodoviário,843.8
Cliente_12,sku_16,Rodoviário,483.63
Cliente_12,sku_17,Rodoviário,54.67
Cliente_12,sku_18,Rodoviário,6492.48
Cliente_12,sku_19,Rodoviário,193.12
Cliente_12,sku_20,Rodoviário,604.31
Cliente_12,sku_21,Rodoviário,2230.36
Cliente_12,sku_22,Rodoviário,1136.96
Cliente_12,sku_23,Rodoviário,1967.3
Cliente_12,sku_25,Rodoviário,1896.2
