origem,destino,cluster,tipoDeFrete,perfil,custo,volumeMinimo,forcarUso,desconsiderarCustoFrete,debitoIcmsOrigem,creditoIcmsDestino
Fornecedor_1,CD_11,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_7,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_3,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_5,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_4,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_13,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_14,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_12,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_8,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_6,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_9,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_10,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_2,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_1,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_15,ESPECIALIDADES,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_11,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_7,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_3,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_5,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_4,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_13,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_14,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_12,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_8,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_6,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_9,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_10,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_2,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_1,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
Fornecedor_1,CD_15,GENERICO,Inbound,Rodoviario,0.0,0.0,3,False,False,False
